Date,Symbol,Open,High,Low,Close,Volume,Action
2024-01-01,AAPL,150.00,155.50,149.25,154.75,1250000,BUY
2024-01-02,AAPL,154.75,158.20,153.10,157.90,1180000,HOLD
2024-01-03,AAPL,157.90,159.80,156.40,158.25,980000,HOLD
2024-01-04,AAPL,158.25,162.10,157.50,161.85,1340000,BUY
2024-01-05,AAPL,161.85,163.40,160.20,162.95,1120000,SELL
2024-01-08,MSFT,380.50,385.75,378.90,384.20,890000,BUY
2024-01-09,MSFT,384.20,388.60,382.15,387.45,920000,HOLD
2024-01-10,MSFT,387.45,391.20,385.80,389.75,1050000,BUY
2024-01-11,MSFT,389.75,392.30,387.90,390.85,875000,HOLD
2024-01-12,MSFT,390.85,394.50,389.20,393.75,1180000,SELL
